image,pres,freq,area
Mouse,15,20,1
WALL-E,25,2,3
Baymax,25,2,2
Shark,20,10,2
Woodpecker,15,10,1
Cat,15,2,2
Monkey,20,2,2
Pepper,15,5,2
Worm,10,0,1
Ants,10,5,1
Octopus,15,1,2
Ants,30,1,3
Elephant,30,0,3
Spider,10,5,1
Mouse,15,2,1
WALL-E,20,1,2
Baymax,25,10,3
Shark,30,0,3
Woodpecker,30,30,1
Cat,15,1,2
Monkey,20,10,2
Pepper,10,0,2
Worm,10,0,1
Ants,25,0,1
Spider,10,2,1
Mouse,10,10,1
WALL-E,20,2,1
Baymax,30,2,1
Shark,30,0,1
Woodpecker,20,20,1
Cat,15,5,1
Monkey,25,10,1
Pepper,20,2,1
Worm,10,1,1
Ants,10,10,2
Octopus,10,10,3
Ants,30,1,3
Octopus,15,1,3
Spider,10,10,1
Mouse,15,10,2
WALL-E,25,1,3
Baymax,20,0,3
Shark,25,2,3
Woodpecker,30,10,1
Cat,20,1,2
Monkey,20,1,2
Pepper,15,2,2
Worm,10,5,1
Ants,10,10,1
Octopus,20,0,2
Ants,30,0,3
Elephant,30,2,3
Mouse,25,10,1
WALL-E,30,1,2
Baymax,30,0,3
Shark,30,0,2
Woodpecker,30,30,1
Cat,20,5,2
Monkey,25,5,2
Pepper,25,2,1
Worm,10,0,1
Ants,10,30,1
Octopus,25,5,2
Elephant,30,1,3
Spider,10,10,1
Mouse,10,2,1
WALL-E,25,1,2
Baymax,15,0,3
Shark,25,1,2
Woodpecker,20,10,1
Cat,15,1,2
Monkey,20,2,2
Pepper,20,2,2
Worm,10,1,1
Ants,15,1,1
Spider,10,1,1
Mouse,15,10,1
WALL-E,30,0,3
Baymax,20,0,3
Shark,15,0,3
Woodpecker,10,2,2
Cat,15,1,2
Monkey,15,0,2
Pepper,20,1,2
Worm,15,1,1
Ants,10,2,1
Octopus,25,1,3
Ants,30,0,3
Elephant,30,0,3
Spider,10,5,1
Mouse,15,2,1
WALL-E,25,2,1
Baymax,20,1,3
Shark,30,0,3
Woodpecker,25,20,1
Cat,15,2,2
Monkey,20,1,2
Pepper,20,2,2
Worm,10,1,1
Ants,20,2,2
Spider,10,30,1
Mouse,20,30,1
WALL-E,30,0,3
Baymax,10,2,2
Shark,30,0,3
Woodpecker,25,30,1
Cat,10,1,2
Pepper,20,0,2
Worm,10,0,1
Ants,10,30,1
Octopus,30,0,3
Shark,25,1,3
Baymax,30,0,2
Spider,10,10,1
Mouse,15,1,1
Cat,20,1,2
Monkey,20,1,2
Woodpecker,15,0,1
Elephant,30,0,3
Ants,25,0,2
Elephant,30,1,3
Spider,10,20,1
Mouse,10,20,1
WALL-E,30,2,2
Baymax,20,1,2
Shark,20,2,3
Woodpecker,25,30,1
Cat,15,5,2
Pepper,30,1,2
Worm,15,0,1
Ants,15,10,1
Octopus,20,2,3
Baymax,15,1,3
Spider,10,0,1
Mouse,10,30,1
Cat,20,1,2
Monkey,20,2,3
Woodpecker,30,30,1
Elephant,30,30,3
WALL-E,10,5,3
Pepper,10,5,3
Worm,10,0,3
Shark,15,1,1
Ants,10,30,1
WALL-E,30,0,3
Elephant,30,0,3
Woodpecker,15,20,1
Pepper,25,2,2
Baymax,20,2,3
Monkey,20,2,2
Spider,10,1,1
Cat,10,1,2
Worm,10,10,1
Mouse,15,1,1
WALL-E,30,2,3
Shark,20,0,2
Octopus,10,0,1
Ants,10,0,1
Cat,25,1,3
Monkey,25,2,2
Elephant,10,0,1
Pepper,15,0,2
Spider,10,0,1
Worm,10,0,1
Baymax,25,0,3
Woodpecker,10,1,2
Mouse,20,1,1
Ants,10,1,3
Elephant,15,2,2
Spider,15,2,2
Mouse,15,10,1
WALL-E,25,1,2
Shark,25,1,3
Woodpecker,25,10,3
Cat,25,1,1
Monkey,25,10,1
Baymax,30,0,3
Pepper,25,2,2
Worm,15,0,2
Octopus,25,2,2
Shark,30,20,3
Ants,10,20,1
WALL-E,30,2,2
Elephant,20,0,3
Woodpecker,25,30,1
Mouse,15,0,1
Monkey,25,2,2
Spider,10,0,1
Cat,20,0,2
Elephant,25,0,3
Spider,10,0,1
Mouse,15,1,1
WALL-E,20,1,2
Baymax,10,0,3
Shark,20,1,2
Woodpecker,20,30,1
Cat,20,5,1
Monkey,20,10,2
Worm,10,1,1
Ants,10,20,2
Octopus,20,1,3
Baymax,25,0,3
